Player ID,Year,Rnd,Player,Pos,PB,St,G,SB,College/Univ
216,1998,6,Chris Fuamatu-Ma'afala,RB,0,0,73,0,Utah
217,1998,6,Ryan Olson,LB,0,0,,0,Colorado
218,1998,7,Angel Rubio,DE,0,0,2,0,SE Missouri St.
219,1997,1,Chad Scott,DB,0,5,108,0,Maryland
220,1997,2,Will Blackwell,WR,0,0,47,0,San Diego St.
221,1997,3,Paul Wiggins,T,0,0,2,0,Oregon
222,1997,3,Mike Vrabel,LB,1,10,206,0,Ohio St.
223,1997,5,George Jones,RB,0,0,34,0,San Diego St.
224,1997,6,Daryl Porter,DB,0,0,55,0,Boston Col.
225,1997,6,Rod Manuel,DE,0,0,3,0,Oklahoma
226,1997,7,Mike Adams,WR,0,0,6,0,Texas
227,1996,1,Jamain Stephens,T,0,1,40,0,North Carolina A&T
228,1996,3,Steve Conley,LB,0,0,21,0,Arkansas
229,1996,3,Jon Witman,RB,0,3,85,0,Penn St.
230,1996,4,Earl Holmes,LB,0,9,140,0,Florida A&M
231,1996,4,Jahine Arnold,WR,0,0,13,0,Fresno St.
232,1996,5,Israel Raybon,DE,0,0,12,0,North Alabama
233,1996,6,Orpheus Roye,DT,0,8,180,1,Florida St.
234,1996,6,Spence Fischer,QB,0,0,,0,Duke
235,1996,7,Carlos Emmons,LB,0,8,147,0,Arkansas St.
236,1995,1,Mark Bruener,TE,0,10,188,0,Washington
237,1995,2,Kordell Stewart,QB,1,6,125,0,Colorado
238,1995,3,Brendan Stai,G,0,7,105,0,Nebraska
239,1995,4,Oliver Gibson,DT,0,4,133,0,Notre Dame
240,1995,4,Donta Jones,LB,0,0,91,0,Nebraska
241,1995,5,Lee Flowers,DB,0,5,112,0,Georgia Tech
242,1995,5,Lance Brown,DB,0,1,58,0,Indiana
243,1995,6,Barron Miles,DB,0,0,,0,Nebraska
244,1995,7,Henry Bailey,WR,0,0,8,0,UNLV
245,1995,7,Cole Ford,K,0,0,38,0,USC
246,1994,1,Charles Johnson,WR,0,7,133,0,Colorado
247,1994,2,Brentson Buckner,DT,0,8,174,0,Clemson
248,1994,3,Jason Gildon,LB,3,8,167,0,Oklahoma St.
249,1994,3,Bam Morris,RB,0,2,74,0,Texas Tech
250,1994,4,Ta'ase Faumui,DE,0,0,8,0,Hawaii
251,1994,5,Myron Bell,DB,0,3,112,0,Michigan St.
252,1994,5,Gary Brown,T,0,0,25,0,Georgia Tech
253,1994,6,Jim Miller,QB,0,2,37,0,Michigan St.
254,1994,6,Eric Ravotti,LB,0,0,23,0,Penn St.
255,1994,7,Brice Abrams,RB,0,0,,0,Michigan St.
256,1993,1,Deon Figures,DB,0,2,93,0,Colorado
257,1993,2,Chad Brown,LB,3,12,188,0,Colorado
258,1993,3,Andre Hastings,WR,0,4,104,0,Georgia
259,1993,4,Kevin Henry,DE,0,5,117,0,Mississippi St.
260,1993,5,Lonnie Palelei,G,0,2,44,0,UNLV
261,1993,5,Marc Woodard,LB,0,0,48,0,Mississippi St.
262,1993,6,Willie Williams,DB,0,8,188,1,Western Carolina
263,1993,7,Jeff Zgonina,DT,0,4,219,0,Purdue
264,1993,7,Craig Keith,TE,0,0,28,0,Lenoir-Rhyne
265,1993,8,Alex Van Pelt,QB,0,0,31,0,Pittsburgh
266,1992,1,Leon Searcy,T,1,7,126,0,Miami (FL)
267,1992,2,Levon Kirkland,LB,2,10,176,0,Clemson
268,1992,3,Joel Steed,NT,1,7,115,0,Colorado
269,1992,4,Charles Davenport,WR,0,0,38,0,North Carolina St.
270,1992,5,Alan Haller,DB,0,0,12,0,Michigan St.
271,1992,7,Russ Campbell,TE,0,0,7,0,Kansas St.
272,1992,7,Scottie Graham,RB,0,0,57,0,Ohio St.
